course_code,title,department,course_number,description,credits,prerequisites_raw,catalog_year,calendar_system
CS150,Computer Science Principles,CS,150,"An introduction to computer science principles: the big ideas and computational thinking practices central to computer science, and the societal impact of computing and information technology. Exposure to algorithms, big data, machine learning, privacy, security and digital citizenship while introducing and reinforcing the importance of programming.",3.0,,2026-2027,quarter
CS164,Introduction to Computer Science,CS,164,"An introduction to the field of computer science. Exposure to core areas (selected from algorithms, artificial intelligence, computer architecture, databases, graphics, human-computer interaction, programming languages, scientific computation, software engineering) while introducing and reinforcing the importance of programming.",3.0,,2026-2027,quarter
CS171,Computer Programming I,CS,171,"Introduces fundamental concepts of computing including memory, instructions, function calls, and activation records. Covers fundamentals of structured computer programming in the language of instruction: variables, input and output, expressions, assignment statements, conditionals and branching, subprograms, parameter passing, repetition, arrays, top-down design, testing, and debugging.",3.0,,2026-2027,quarter
CS172,Computer Programming II,CS,172,"Covers object-oriented design, inheritance hierarchies, information hiding principles, string processing, recursion, good programming style, documentation, debugging, and testing.",3.0,CS 171 [Min Grade: C] or CS 175 [Min Grade: C],2026-2027,quarter
CS175,Advanced Computer Programming I,CS,175,"Advanced programming in language of instruction at an accelerated pace: introduces fundamental concepts of computing including memory, instructions, function calls, and activation records. Covers fundamentals of structured computer programming in the language of instruction: conditionals and branching, subprograms, parameter passing, repetition, arrays, top-down design, testing, and debugging. Supplements basic topics with deeper presentation of advanced techniques for those with some incoming programming experience.",3.0,,2026-2027,quarter
CS180,Introduction to Artificial Intelligence & Machine Learning,CS,180,"This introductory course provides a broad exploration of artificial intelligence (AI) and machine learning (ML), focusing on fundamental concepts, real-world applications, and emerging trends. Students will learn about the history of AI, problem-solving strategies, search algorithms, adversarial agents, classification and clustering techniques, neural networks and deep learning, reinforcement learning, generative AI, large language models, and AI in games. Ethical considerations, societal impacts, and the future of AI will also be discussed. No prior programming experience is required.",3.0,,2026-2027,quarter
CS190,Selected Computer Language,CS,190,"Focuses on programming in a selected language of interest. Course content, language, and prerequisites may vary according to instructor, with emphasis on applications for which the language is designed. May be repeated for credit.",3.0,,2026-2027,quarter
CS260,Data Structures,CS,260,"Data structures form the basis for the programmer's toolbox. Students will become familiar with the basic data structures and learn to modify or create on their own. Additionally, they will learn several algorithms that use these data structures in solving common problems such as searching and sorting, that involve sequentially, pairwise, or hierarchically related data. Further, students will learn data abstraction, how to separate interface from implementation, and viewing a problem simply in terms of functional requirements and dependencies. Throughout the course, students will develop abstract thinking and problem-solving skills.",4.0,CS 265 [Min Grade: C],2026-2027,quarter
CS265,Advanced Programming Tools and Techniques,CS,265,"Introduction to the basic principles of programming practice: testing, debugging, portability, performance, design alternatives, and style. Application in a variety of programming languages, programming environments, and operating systems. Introduction to tools used in the software development process for improving program functionality, performance, and robustness.",3.0,CS 172 [Min Grade: C] or ECE 105 [Min Grade: D] or ECEC 201 [Min Grade: D],2026-2027,quarter
CS270,Mathematical Foundations of Computer Science,CS,270,"Introduces formal logic and its connections to Computer Science. Students learn to translate statements about the behavior of computer programs into logical claims and to prove such assertions using both traditional techniques and automated tools. Considers approaches to proving termination, correctness, and safety for programs. Discusses propositional and predicate logic, logical inference, recursion and recursively defined sets, mathematical induction, and structural induction.",3.0,CS 172 [Min Grade: C] or CS 265 [Min Grade: C] or ECE 105 [Min Grade: D] or ECEC 201 [Min Grade: D],2026-2027,quarter
CS277,Algorithms and Analysis,CS,277,"Introduces foundational concepts in Computer Science theory, including computability, decidability, the Turing Machine, and algorithmic complexity. Applies concepts underlying graph theory and automata to current topics in computing to create contextualized connections between theory and practice.",3.0,CS 260 [Min Grade: C] and CS 270 [Min Grade: C] and MATH 221 [Min Grade: C],2026-2027,quarter
CS281,Systems Architecture,CS,281,"Covers internal function and organization of digital computers, including instruction sets, addressing methods, input-output architectures, central processor organization, machine language, and assembly language.",4.0,(CS 270 [Min Grade: C] or ECE 200 [Min Grade: D]) and (CS 172 [Min Grade: C] or ECEC 201 [Min Grade: D] or ECE 105 [Min Grade: D]),2026-2027,quarter
CS283,Systems Programming,CS,283,"This course introduces computer systems, including interaction of hardware and software through the operating system, from the programmer's perspective. Three fundamental abstractions are emphasized: processes, virtual memory, and files. These abstractions provide programmers a common interface to a wide variety of hardware devices. Topics covered include linking, system level I/O, concurrent programming, and network programming.",3.0,CS 265 [Min Grade: C],2026-2027,quarter
CS300,Applied Symbolic Computation,CS,300,"This course covers the fundamentals of symbolic mathematical methods as embodied in symbolic mathematics software systems, including: fundamental techniques, simplification of expressions, solution of applications problems, intermediate expressions swell, basic economics of symbolic manipulation, efficient solution methods for large problems, hybrid symbolic/numeric techniques.",3.0,CS 260 [Min Grade: C] and CS 270 [Min Grade: C] and MATH 200 [Min Grade: C] and (MATH 201 [Min Grade: C] or ENGR 231 [Min Grade: C]),2026-2027,quarter
CS303,Algorithmic Number Theory and Cryptography,CS,303,"Covers fundamental algorithms for integer arithmetic, greatest common divisor calculation, modular arithmetic, and other number theoretic computations. Algorithms are derived, implemented and analyzed for primality testing and integer factorization. Applications to cryptography are explored including symmetric and public-key cryptosystems. A cryptosystem will be implemented and methods of attack investigated.",3.0,CS 260 [Min Grade: C] and (MATH 221 [Min Grade: C] or MATH 222 [Min Grade: C]) and (MATH 201 [Min Grade: C] or ENGR 231 [Min Grade: D]),2026-2027,quarter
CS314,Computing in the Small,CS,314,Explores the technologies and techniques associated with microcontrollers and Systems on Chips (SOCs) as well as their use in embedded systems. A major focus is on developing software to control input and output devices.,3.0,CS 283 [Min Grade: C],2026-2027,quarter
CS345,Computer Game Design and Development,CS,345,"This course introduces students to the computer game design process. Students also learn how the individual skills of modeling, animation, scripting, interface design and story telling are coordinated to produce interactive media experiences for various markets, devices and purposes.",3.0,CS 265 [Min Grade: C],2026-2027,quarter
CS352,Processor Architecture & Analysis,CS,352,"This course covers performance evaluation and benchmarking, pipelining, superscalar processors, multiprocessors, and interfacing processors and peripherals. The memory hierarchy, including cache and virtual memory, are also explored from a programmer's perspective with high-performance computing techniques in mind.",3.0,CS 281 [Min Grade: C] or ECEC 355 [Min Grade: D],2026-2027,quarter
CS360,Programming Language Concepts,CS,360,"Introduces the design and implementation of modern programming languages: formal theory underlying language implementation; concerns in naming, binding, storage allocation and typing; semantics of expressions and operators, control flow, and subprograms; procedural and data abstraction; functional, logic, and object-oriented languages. Students will construct an interpreter for a nontrivial language.",3.0,CS 260 [Min Grade: C] and CS 265 [Min Grade: C] and CS 270 [Min Grade: C],2026-2027,quarter
